Sample;Ch1;Ch2;Ch3;Ch4
0;-0.004030226729810238;0.028056113049387932;-0.08523592352867126;-0.07715736329555511
1;0.004030226729810238;0.032064128667116165;-0.09741248190402985;-0.060913704335689545
2;-0.01612090691924095;0.016032064333558083;-0.07305935770273209;0.02842639572918415
3;-0.01612090691924095;0.012024047784507275;-0.03652967885136604;0.012182741425931454
4;-0.004030226729810238;0.0;-0.016235413029789925;0.004060913808643818
5;0.0;-0.004008016083389521;-0.008117706514894962;0.0
6;0.004030226729810238;0.008016032166779041;-0.008117706514894962;0.0
7;0.008060453459620476;0.004008016083389521;0.004058853257447481;-0.012182741425931454
8;0.004030226729810238;-0.004008016083389521;0.0;-0.008121827617287636
9;0.004030226729810238;-0.012024047784507275;0.0;0.0
10;-0.004030226729810238;-0.004008016083389521;-0.004058853257447481;0.008121827617287636
11;0.004030226729810238;-0.008016032166779041;-0.008117706514894962;0.012182741425931454
12;0.008060453459620476;-0.004008016083389521;0.004058853257447481;0.004060913808643818
13;0.0;0.0;0.008117706514894962;0.0
14;0.0;-0.004008016083389521;-0.004058853257447481;0.0
15;0.008060453459620476;0.0;0.0;-0.004060913808643818
16;0.0;0.0;0.008117706514894962;-0.008121827617287636
17;0.004030226729810238;-0.008016032166779041;0.0;-0.004060913808643818
18;0.0;0.004008016083389521;0.004058853257447481;0.0
19;0.012090680189430714;0.004008016083389521;-0.008117706514894962;0.004060913808643818
20;0.008060453459620476;0.0;0.004058853257447481;0.008121827617287636
21;0.0;0.0;0.004058853257447481;-0.008121827617287636
22;0.0;-0.008016032166779041;0.01217656023800373;-0.012182741425931454
23;0.0;0.004008016083389521;0.008117706514894962;0.004060913808643818
24;0.004030226729810238;0.004008016083389521;0.004058853257447481;-0.008121827617287636
25;0.004030226729810238;0.0;0.0;0.0
26;-0.004030226729810238;0.004008016083389521;-0.01217656023800373;0.004060913808643818
27;0.0;0.004008016083389521;-0.004058853257447481;-0.004060913808643818
28;0.012090680189430714;-0.004008016083389521;0.01217656023800373;0.004060913808643818
29;0.008060453459620476;0.008016032166779041;0.0;-0.012182741425931454
30;0.0;0.004008016083389521;0.004058853257447481;0.008121827617287636
31;0.012090680189430714;0.0;0.0;-0.004060913808643818
32;0.008060453459620476;0.012024047784507275;0.004058853257447481;0.0
33;0.012090680189430714;0.004008016083389521;0.0;0.0
34;0.008060453459620476;0.008016032166779041;0.004058853257447481;0.004060913808643818
35;0.0;0.0;0.004058853257447481;0.004060913808643818
36;-0.008060453459620476;0.012024047784507275;0.004058853257447481;0.004060913808643818
37;0.004030226729810238;-0.008016032166779041;0.004058853257447481;0.004060913808643818
38;0.004030226729810238;0.004008016083389521;0.008117706514894962;0.0
39;0.004030226729810238;0.008016032166779041;0.0;0.0
40;0.004030226729810238;0.004008016083389521;-0.008117706514894962;0.0
41;-0.004030226729810238;0.008016032166779041;0.0;-0.004060913808643818
42;0.01612090691924095;0.0;0.004058853257447481;0.004060913808643818
43;0.0;0.004008016083389521;0.004058853257447481;-0.004060913808643818
44;0.01612090691924095;0.0;0.008117706514894962;0.004060913808643818
45;0.0;0.004008016083389521;-0.004058853257447481;0.008121827617287636
46;0.008060453459620476;0.0;-0.004058853257447481;-0.004060913808643818
47;0.004030226729810238;0.0;0.008117706514894962;0.0
48;0.012090680189430714;0.0;-0.008117706514894962;0.004060913808643818
49;0.012090680189430714;0.004008016083389521;0.008117706514894962;0.0
50;0.01612090691924095;-0.004008016083389521;0.004058853257447481;0.0
51;0.004030226729810238;0.008016032166779041;0.004058853257447481;-0.008121827617287636
52;0.0;0.0;-0.008117706514894962;0.004060913808643818
53;0.0;0.0;-0.004058853257447481;0.012182741425931454
54;0.004030226729810238;0.004008016083389521;0.0;0.004060913808643818
55;-0.008060453459620476;0.004008016083389521;0.004058853257447481;0.0
56;0.004030226729810238;-0.012024047784507275;0.004058853257447481;0.004060913808643818
57;-0.004030226729810238;0.004008016083389521;0.0;-0.004060913808643818
58;0.004030226729810238;0.012024047784507275;-0.004058853257447481;-0.004060913808643818
59;0.004030226729810238;0.004008016083389521;0.004058853257447481;-0.004060913808643818
60;0.004030226729810238;-0.004008016083389521;-0.008117706514894962;0.004060913808643818
61;0.004030226729810238;0.004008016083389521;0.004058853257447481;0.004060913808643818
62;0.012090680189430714;0.0;0.004058853257447481;0.0
63;-0.004030226729810238;0.0;-0.008117706514894962;-0.004060913808643818
64;-0.004030226729810238;0.008016032166779041;0.004058853257447481;-0.004060913808643818
65;0.008060453459620476;-0.008016032166779041;0.0;0.0
66;0.0;0.004008016083389521;-0.008117706514894962;0.0
67;0.008060453459620476;0.0;0.008117706514894962;-0.008121827617287636
68;-0.004030226729810238;-0.004008016083389521;0.0;0.0
69;0.008060453459620476;0.0;0.008117706514894962;-0.004060913808643818
70;0.0;-0.004008016083389521;-0.004058853257447481;0.0
71;0.012090680189430714;-0.004008016083389521;0.004058853257447481;0.012182741425931454
72;0.0;0.0;0.0;0.0
73;0.004030226729810238;-0.004008016083389521;0.01217656023800373;0.0
74;0.0;0.008016032166779041;-0.004058853257447481;-0.004060913808643818
75;0.004030226729810238;0.0;0.0;0.004060913808643818
76;0.008060453459620476;-0.004008016083389521;0.004058853257447481;-0.004060913808643818
77;0.004030226729810238;0.004008016083389521;-0.008117706514894962;0.004060913808643818
78;0.004030226729810238;0.008016032166779041;0.004058853257447481;0.0
79;0.012090680189430714;0.0;0.004058853257447481;-0.004060913808643818
80;0.012090680189430714;0.0;0.004058853257447481;-0.004060913808643818
81;0.0;0.0;0.0;0.0
82;0.004030226729810238;0.008016032166779041;-0.004058853257447481;0.0
83;0.012090680189430714;0.004008016083389521;-0.004058853257447481;0.008121827617287636
84;0.0;0.004008016083389521;0.0;-0.004060913808643818
85;0.008060453459620476;0.004008016083389521;-0.004058853257447481;0.0
86;0.008060453459620476;0.004008016083389521;0.004058853257447481;0.004060913808643818
87;0.012090680189430714;-0.008016032166779041;0.004058853257447481;-0.004060913808643818
88;0.0;0.0;-0.004058853257447481;0.0
89;0.0;0.0;0.004058853257447481;0.0
90;0.012090680189430714;0.008016032166779041;-0.008117706514894962;0.012182741425931454
91;0.0;-0.004008016083389521;0.008117706514894962;-0.008121827617287636
92;0.008060453459620476;-0.004008016083389521;0.004058853257447481;0.0
93;0.004030226729810238;0.008016032166779041;-0.004058853257447481;0.004060913808643818
94;0.004030226729810238;0.0;0.008117706514894962;0.004060913808643818
95;-0.004030226729810238;0.008016032166779041;0.004058853257447481;0.004060913808643818
96;0.008060453459620476;0.0;0.0;-0.012182741425931454
97;-0.004030226729810238;0.0;0.004058853257447481;0.004060913808643818
98;0.004030226729810238;0.0;0.004058853257447481;0.004060913808643818
99;0.0;-0.008016032166779041;-0.004058853257447481;0.0
100;0.0;0.004008016083389521;0.004058853257447481;-0.008121827617287636
101;0.004030226729810238;0.0;0.004058853257447481;0.0
102;0.012090680189430714;0.0;0.0;0.004060913808643818
103;-0.004030226729810238;-0.004008016083389521;0.008117706514894962;0.0
104;0.008060453459620476;-0.008016032166779041;0.0;0.012182741425931454
105;0.0;0.0;0.004058853257447481;0.004060913808643818
106;0.004030226729810238;0.004008016083389521;-0.004058853257447481;0.0
107;0.008060453459620476;-0.004008016083389521;0.008117706514894962;0.0
108;0.004030226729810238;0.0;0.004058853257447481;-0.004060913808643818
109;0.008060453459620476;0.004008016083389521;0.004058853257447481;0.008121827617287636
110;0.004030226729810238;0.004008016083389521;0.004058853257447481;0.0
111;0.012090680189430714;0.004008016083389521;0.008117706514894962;0.004060913808643818
112;-0.004030226729810238;-0.008016032166779041;0.0;0.008121827617287636
113;-0.008060453459620476;0.004008016083389521;0.008117706514894962;0.0
114;0.0;0.004008016083389521;0.0;0.004060913808643818
115;-0.004030226729810238;0.0;-0.004058853257447481;0.0
116;0.004030226729810238;-0.004008016083389521;0.01217656023800373;-0.004060913808643818
117;0.004030226729810238;0.0;0.004058853257447481;0.0
118;-0.008060453459620476;-0.004008016083389521;0.008117706514894962;0.0
119;0.01612090691924095;0.008016032166779041;0.004058853257447481;0.0
120;0.0;0.004008016083389521;0.004058853257447481;0.0
121;0.0;0.0;0.0;-0.008121827617287636
122;0.004030226729810238;0.0;-0.008117706514894962;0.0
123;-0.004030226729810238;0.008016032166779041;0.008117706514894962;0.004060913808643818
124;0.004030226729810238;0.0;0.004058853257447481;0.008121827617287636
125;0.0;0.0;0.0;0.0
126;0.008060453459620476;-0.008016032166779041;0.008117706514894962;0.0
127;0.004030226729810238;0.0;0.004058853257447481;0.0
128;0.008060453459620476;0.0;0.004058853257447481;0.0
129;-0.008060453459620476;0.0;0.004058853257447481;-0.004060913808643818
130;0.0;0.0;0.0;-0.012182741425931454
131;0.004030226729810238;0.004008016083389521;0.004058853257447481;-0.008121827617287636
132;0.0;0.008016032166779041;0.008117706514894962;0.0
133;0.004030226729810238;0.008016032166779041;0.004058853257447481;-0.004060913808643818
134;-0.004030226729810238;0.008016032166779041;0.0;0.0
135;0.012090680189430714;0.008016032166779041;0.01217656023800373;-0.012182741425931454
136;0.008060453459620476;0.004008016083389521;-0.008117706514894962;-0.004060913808643818
137;0.004030226729810238;0.004008016083389521;0.008117706514894962;0.004060913808643818
138;-0.004030226729810238;-0.008016032166779041;0.0;0.004060913808643818
139;0.008060453459620476;0.0;0.004058853257447481;-0.004060913808643818
140;0.004030226729810238;0.004008016083389521;-0.004058853257447481;0.008121827617287636
141;0.004030226729810238;-0.008016032166779041;-0.004058853257447481;-0.004060913808643818
142;0.0;-0.004008016083389521;-0.004058853257447481;0.008121827617287636
143;0.004030226729810238;-0.004008016083389521;-0.004058853257447481;0.0
144;-0.004030226729810238;-0.004008016083389521;0.004058853257447481;-0.008121827617287636
145;0.004030226729810238;0.004008016083389521;0.008117706514894962;0.008121827617287636
146;0.008060453459620476;0.0;0.004058853257447481;-0.004060913808643818
147;0.0;-0.004008016083389521;0.0;0.0
148;0.0;0.0;0.008117706514894962;0.0
149;0.0;0.0;0.0;-0.008121827617287636
150;0.008060453459620476;0.0;0.0;0.0
151;-0.012090680189430714;0.004008016083389521;0.004058853257447481;-0.004060913808643818
152;0.0;0.0;0.004058853257447481;0.008121827617287636
153;0.012090680189430714;0.0;0.01217656023800373;-0.008121827617287636
154;0.004030226729810238;-0.004008016083389521;0.0;-0.008121827617287636
155;0.004030226729810238;-0.004008016083389521;-0.004058853257447481;-0.004060913808643818
156;0.0;-0.004008016083389521;0.008117706514894962;-0.004060913808643818
157;-0.004030226729810238;0.008016032166779041;-0.004058853257447481;0.004060913808643818
158;0.004030226729810238;0.0;0.0;-0.004060913808643818
159;0.008060453459620476;0.0;0.008117706514894962;0.008121827617287636
160;0.012090680189430714;-0.008016032166779041;0.004058853257447481;0.008121827617287636
161;-0.004030226729810238;-0.004008016083389521;-0.004058853257447481;0.0
162;0.008060453459620476;0.0;-0.004058853257447481;0.008121827617287636
163;0.004030226729810238;0.004008016083389521;0.004058853257447481;0.004060913808643818
164;0.008060453459620476;-0.004008016083389521;0.016235413029789925;0.004060913808643818
165;0.0;-0.016032064333558083;0.004058853257447481;0.004060913808643818
166;0.0;-0.004008016083389521;0.004058853257447481;0.0
167;0.008060453459620476;-0.004008016083389521;0.0;0.004060913808643818
168;0.008060453459620476;-0.008016032166779041;-0.004058853257447481;0.004060913808643818
169;0.012090680189430714;-0.004008016083389521;-0.008117706514894962;0.012182741425931454
